security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Bootstrap,CKKS_Logistic,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Sub,CKKS_Add_count,CKKS_Bootstrap_count,CKKS_Logistic_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Sub_count,CKKS_Mult_Plaintext_contribution,CKKS_Add_contribution,CKKS_Rotate_contribution,CKKS_Bootstrap_contribution,CKKS_Sub_contribution,CKKS_Mult_contribution,CKKS_Logistic_contribution,estimated_Time
128c,12,10,1,0.0300663064516129,20.217095,13.945696000000002,0.3581439999999993,0.0093633749999999,0.3134289999999993,0.0200954999999999,5,5,5,5,5,5,5,0.37453499999999595,1.1725859516129031,6.268579999999986,181.953855,0.3818144999999981,3.2232959999999937,139.45696,332.8316264516129
128c,12,10,2,0.0378416078431372,9.990154999999994,8.851895,0.302562,0.00432575,0.2897695000000002,0.0074593666666666,5,5,5,5,5,5,5,0.17303,1.4758227058823508,5.795390000000004,89.91139499999994,0.1417279666666654,2.723058,88.51895,188.73937367254896
128c,12,10,4,0.0317789423076922,3.915779000000001,5.970210999999999,0.2272324999999995,0.0053042631578947,0.2078055000000001,0.008786,5,5,5,5,5,5,5,0.212170526315788,1.239378749999996,4.156110000000002,35.24201100000001,0.166934,2.0450924999999955,59.70210999999999,102.76380677631579
128c,12,10,8,0.0485279803921568,1.7875839999999954,4.830418999999999,0.1941523333333332,0.00713792,0.1539549999999998,0.0081852765957446,5,5,5,5,5,5,5,0.2855168,1.8925912352941152,3.079099999999996,16.08825599999996,0.1555202553191474,1.747370999999999,48.30418999999999,71.55254529061321
128c,12,10,16,0.0469706470588235,1.4860459999999946,4.474409000000001,0.1842500000000004,0.0027650666666667,0.1431053333333327,0.0067071020408163,5,5,5,5,5,5,5,0.11060266666666801,1.8318552352941164,2.862106666666654,13.374413999999952,0.1274349387755097,1.6582500000000038,44.744090000000014,64.70875350740292
128c,12,10,32,0.0523052156862745,1.8572830000000025,4.480400999999999,0.1670610000000003,0.0065024333333332,0.1285183333333339,0.0064481372549019,5,5,5,5,5,5,5,0.26009733333332796,2.0399034117647052,2.5703666666666782,16.715547000000022,0.12251460784313611,1.5035490000000027,44.80400999999999,68.01598801960786
128c,12,14,1,0.2083749791666667,34.965762,16.650141,0.6526589999999999,0.0235797142857139,0.6607319999999994,0.0153791111111112,5,5,5,5,5,5,5,0.9431885714285559,8.126624187500001,13.214639999999989,314.69185799999997,0.2922031111111128,5.873930999999999,166.50141000000002,509.64385487003966
128c,12,14,2,0.2237899761904762,22.284882000000003,10.488873000000002,0.5290780000000002,0.0261470909090906,0.4589970000000001,0.0206626923076923,5,5,5,5,5,5,5,1.045883636363624,8.727809071428572,9.179940000000002,200.56393800000004,0.3925911538461537,4.761702000000001,104.88873000000001,329.5605938616384
128c,12,14,4,0.2432229523809523,14.271659,7.173062,0.4011760000000004,0.0204552352941177,0.3285850000000003,0.0154536764705882,5,5,5,5,5,5,5,0.8182094117647081,9.48569514285714,6.571700000000006,128.444931,0.2936198529411758,3.610584000000004,71.73062,220.95535940756304
128c,12,14,8,0.2395537674418604,11.123153000000002,5.691056,0.2703160000000002,0.0156899130434782,0.2258490000000002,0.0132734047619047,5,5,5,5,5,5,5,0.6275965217391279,9.342596930232556,4.516980000000004,100.10837700000002,0.2521946904761893,2.432844000000002,56.91056,174.1911491424479
128c,12,14,16,0.2279319534883721,10.041941,5.046493000000002,0.2991625000000004,0.007917037037037,0.1806450000000001,0.0107834047619047,5,5,5,5,5,5,5,0.31668148148148,8.889346186046513,3.6129000000000024,90.37746899999999,0.20488469047618932,2.6924625000000035,50.46493000000002,156.5586738580042
128c,12,14,32,0.2327953095238095,10.384659,5.114936000000002,0.1290684999999998,0.0071279615384615,0.1420203333333329,0.0045914285714285,5,5,5,5,5,5,5,0.28511846153846,9.07901707142857,2.8404066666666576,93.46193099999999,0.0872371428571415,1.1616164999999983,51.149360000000016,158.06468684249086
none,16,10,1,0.0032693381294964,12.575996000000002,6.670537,0.2935340000000002,0.014091625,0.2809764999999999,0.0121404444444444,5,5,5,5,5,5,5,0.563665,0.1275041870503596,5.619529999999998,113.18396400000002,0.2306684444444436,2.6418060000000017,66.70537,189.07250763149483
none,16,10,2,0.005308798076923,8.485282,4.301116,0.1877283333333332,0.0083456923076922,0.1883676666666662,0.0088777999999999,5,5,5,5,5,5,5,0.333827692307688,0.207043124999997,3.7673533333333244,76.367538,0.16867819999999809,1.6895549999999988,43.011160000000004,125.54515535064101
none,16,10,4,0.0048853238095238,5.858917999999999,3.032334,0.1363102499999999,0.005660625,0.1173115999999998,0.0061574875,5,5,5,5,5,5,5,0.226425,0.1905276285714282,2.346231999999996,52.730261999999996,0.1169922625,1.2267922499999993,30.32334,87.16057114107142
none,16,10,8,0.0044792935779816,4.671320999999999,2.3774300000000013,0.0968535999999999,0.0055700192307692,0.0865248333333332,0.0061235894736842,5,5,5,5,5,5,5,0.22280076923076797,0.17469244954128238,1.7304966666666641,42.04188899999999,0.1163481999999998,0.8716823999999991,23.77430000000001,68.9322094854387
none,16,10,16,0.0045423302752293,4.346306999999998,2.2510190000000003,0.1051155999999999,0.005557737704918,0.0979198333333333,0.0048647570093457,5,5,5,5,5,5,5,0.22230950819672,0.1771508807339427,1.9583966666666661,39.11676299999998,0.09243038317756831,0.9460403999999991,22.51019,65.02328083877488
none,16,10,32,0.0046435871559632,4.485341000000002,2.2545340000000005,0.1168853999999999,0.0061556034482758,0.0983026,0.004878716981132,5,5,5,5,5,5,5,0.246224137931032,0.1810998990825648,1.9660520000000001,40.36806900000002,0.092695622641508,1.051968599999999,22.545340000000003,66.45144925965513
none,16,14,1,0.0049083675213675,16.108372000000003,8.057815000000002,0.3844670000000003,0.0128175,0.3344049999999994,0.0137977179487179,5,5,5,5,5,5,5,0.5127,0.1914263333333325,6.688099999999988,144.97534800000003,0.2621566410256401,3.4602030000000026,80.57815000000002,236.668083974359
none,16,14,2,0.0053638241758241,10.50461,5.167915000000001,0.2413946666666668,0.008814652173913,0.2232673333333332,0.0096411538461538,5,5,5,5,5,5,5,0.35258608695652,0.20918914285713988,4.465346666666664,94.54149,0.1831819230769222,2.1725520000000014,51.67915000000001,153.60349581955722
none,16,14,4,0.0057848260869565,7.277714,3.673566,0.193191333333333,0.0066457142857142,0.1530817500000001,0.0070505507246376,5,5,5,5,5,5,5,0.26582857142856803,0.2256082173913035,3.061635000000002,65.499426,0.1339604637681144,1.738721999999997,36.73566,107.660840252588
none,16,14,8,0.0040192934782608,5.726739000000002,2.882423,0.1500669999999999,0.0066397083333333,0.1145799999999999,0.0062630714285714,5,5,5,5,5,5,5,0.265588333333332,0.1567524456521712,2.291599999999998,51.54065100000002,0.1189983571428566,1.350602999999999,28.82423,84.54842313612838
none,16,14,16,0.0047620108695652,5.3917280000000005,2.598141,0.1422297999999999,0.0058520909090908,0.1061397999999997,0.0053206153846153,5,5,5,5,5,5,5,0.234083636363632,0.1857184239130428,2.122795999999994,48.525552000000005,0.10109169230769069,1.2800681999999992,25.98141,78.43071995258437
